text,audio,image,label,source,collected_at,label_auto,confidence
"По итогам 12 месяцев 2016 года на территории республики выпущено 11047 единиц автотранспортных средств на сумму 71,1 млрд тенге , что на 26 % ниже результата годичной давности ( в натуральном выражении ) . Об этом Liter.kz cообщили в Союзе предприятий автомобильной отрасли Казахстана ' КазАвтоПром ' . 8 397 единиц пришлось на легковую технику ( минус 32,6 % к аналогичному значению 2015 года ) . Выпуск грузовых автомобилей на казахстанских предприятиях по итогам 12 месяцев 2016 года вырос на 22,5 % и достиг 1892ед . Производство автобусной техники в отчетный период увеличилось на 22,7 % , до отметки 362 единицы . ' Основным фактором сокращения производственных показателей автопрома в 2015 - 2016 гг . стал резкий спад рыночной активности . Так , по итогам 12 месяцев 2016 года официальными дилерами реализовано 46,8тыс.автотранспортных средств всех категорий против 97,5 тыс . единиц в 2015 году ( падение на 52 % ) ' , - говорится в распространенном сообщении . Тем не менее динамика второй половины 2016 года свидетельствуют о планомерном оздоровлении отрасли . Спад совокупных показателей производства замедлился с 56 % в январе - июне 2016 года до 26 % по результатам 12 месяцев . Сбыт отечественных автозаводов в 2016 году составил 12 176 единиц . Доля автомобилей локальной сборки достигла 26 % по итогам 12 месяцев 2016 года против 17,3 % в 2015 году . Причем в декабре 2016 года этот показатель обновил исторический рекорд и составил 36,5 % . 4244 автомобиля ( или 35 % сбыта казахстанских автозаводов ) были реализованы в рамках государственной программы льготных автокредитов . Лидирующую позицию в сегменте автомобилей локальной сборки занимает продукция АО ' АЗИЯ АВТО ' - 6928 проданных автомобилей , или 56,9 % суммарного сбыта отечественной легковой техники . ТОО ' СарыаркаАвтоПром ' было отгружено 3066 единиц . Доля предприятия составила 25,2 % . Далее в рейтинге сбыта продукции отечественных автопроизводителей расположились АО ' Агромашхолдинг ' ( 843 ед . ; 6,9 % ) , АО ' КАМАЗ - Инжиниринг ' ( 538 ед . ; 4,4 % ) , ТОО ' Hyundai AutoTruck & Bus ' ( 468 ед . ; 3,8 % ) и ТОО ' СемАЗ ' ( 333 ед . ; 2,7 % ) . Пятёрку наиболее востребованных брендов легковых авто казахстанской сборки по итогам 12 месяцев 2016 г . составили Lada ( 3194 ед . ) , Kia ( 2212 ед . ) , Hyundai ( 1917 ед . ) , Skoda ( 838 ед . ) и Chevrolet ( 684 ед . ) . В список марок , предлагаемых отечественными предприятиями , вошли также JAC ( 622 ед . ) , Peugeot ( 452 ед . ) , Geely ( 426 ед . ) , Toyota ( 243 ед . ) и SsangYong ( 119 ед . ) . Рейтинг продаж легковых моделей локального производства возглавили Lada 4x4 ( 2088ед . ) , Hyundai Elantra ( 975 ед . ) , Lada Granta ( 854 ед . ) , Kia Sportage ( 705 ед . ) , Skoda Rapid ( 486 ед . ) , JACS3 ( 392 ед . ) , Peugeot 301 ( 354 ед . ) , Hyundai Santa Fe ( 331 ед . ) , KIASorento ( 280 ед . ) и KIA Cerato ( 279 ед . ) . Вклад предприятий автопрома в структуру ВВП республики по итогам 2016 г . Достиг 71,1 млрд тенге , значительно превысив аналогичные показатели таких отраслей , как фармацевтическая ( 42,4 млрд тенге ) , текстильная промышленность ( 39,2 млрд тенге ) и приблизившись к объемам выпуска легкой промышленности ( 79,4 млрд тенге ) . В декабре 2016 года были полностью освоены средства второго транша государственной программы льготных автокредитов . Напомним , в рамках программы , стартовавшей в апреле 2015 года , из Нацфонда было выделено 26 млрд тенге в целях кредитования физических лиц на приобретение автомобилей казахстанской сборки по номинальной ставке 4 % . Финансовые ресурсы программы сегодня освоены на 119,6 % . За истекшие 20 месяцев работы программы Банком развития Казахстана было выдано 8340 кредитов на общую сумму 31,1 млрд . тенге . 4211 реализованных автомобилей пришлось на модельный ряд завода АО ' АЗИЯ АВТО ' . Заемщикам программы было продано 3003 автомобиля , собранных на ТОО ' СарыаркаАвтоПром ' и 1126 единиц техники , выпущенной АО ' Агромашхолдинг ' .",,,neg,hf:sepidmnorozy/Russian_sentiment:train,2026-03-28T10:58:03Z,pos,0.519909973044928
""" Самрук - Энерго "" в I квартале почти вдвое снизила чистую прибыль по МСФО Астана . 18 мая . ИНТЕРФАКС - КАЗАХСТАН - АО "" Самрук - Энерго "" в январе - марте 2016 года получило чистую прибыль в размере 5,521 млрд тенге , что в 1,9 раза меньше , чем в первом квартале 2015 года , говорится в консолидированной финотчетности компании по МСФО . Для получения полных текстов публикаций воспользуйтесь платной подпиской .",,,neg,hf:sepidmnorozy/Russian_sentiment:train,2026-03-28T10:58:03Z,pos,0.5229498457427882
"Всю эту неделю жители Астаны страдали от смога . Густая пелена тумана и запах гари окутали весь город . Первыми забили тревогу пользователи социальных сетей . Они выкладывали “ апокалиптические ” фото городских пейзажей , сравнивая главный город Казахстана с Пекином по уровню загрязнения воздуха . Многие жаловались , что тяжело дышать , от запаха гари болит голова , что он настолько едкий , что пропитывает верхнюю одежду и даже при закрытых форточках просачивается в квартиру . Столичные жители негодовали - какое ЭКСПО , какие “ зеленые ” технологии , когда в Астане творится такое ? ! Сотрудники “ Казгидромета ” объяснили обеспокоенным , откуда появился смог . Причинами этого стали антициклон , практически безветренная погода , туман и влажность ( 91 процент ) . Ситуацию ухудшил угольный дым печного отопления частного сектора . Из - за того что ветра нет , перемешивания атмосферного воздуха не происходит . Согласно статистике департамента экологии по Астане , в настоящее время в столице 53 процента выбросов вредных веществ в атмосферу приходится на долю автотранспортных средств , 10 процентов - на частный сектор ( печное отопление , частные котельные ) . Однако специалисты заверяют , что поводов для опасений нет : норма загрязнения атмосферного воздуха не превышена . При этом руководитель экологического союза “ Табигат ” Мэлс Елеусизов высказывался , что смог - явление само по себе уникальное в Астане , учитывая постоянные ветра в городе . По его мнению , последствия углекислого газа , из - за которого в том числе и образовался смог , пагубны для организма . На всякий случай в акимате провели специальное заседание по вопросам экологической обстановки в городе . Как сообщил руководитель департамента экологии по г . Астане Министерства энергетики Абзал Егембердиев , в период штиля в воздухе ощущается концентрация жженого топлива , и это связано с тем , что одним из элементов распада сжигаемого твердого топлива является зольная пыль , или взвешенные частицы , которые более осязаемы для организма человека , нежели выхлопные газы автотранспорта . При этом удельные выбросы от автомобилей более чем в пять раз превышают выбросы от частного сектора . “ По нашим наблюдениям , пиковые концентрации загрязняющих веществ при использовании твердого топлива наблюдаются в частных секторах , особенно в безветренную погоду , а учитывая , что они расположены по всему периметру столицы , фоновое рассеивание распределяется на большую часть Астаны ” , - констатировал чиновник . Аким Астаны Асет Исекешев поручил в кратчайшие сроки разработать комплексный план по улучшению экологической ситуации с учетом комплексных научных исследований , мониторинга состояния окружающей среды и мнения населения . “ Поручаю в ближайшее время вынести этот вопрос на общественные слушания через совет по устойчивому развитию города . Необходимо утвердить новые качественные индикаторы состояния экологии и атмосферного воздуха , по которым будет проводиться постоянный мониторинг . Для этого будут проведены комплексные научные исследования ” , - отметил градоначальник . Во всех районах города будут установлены датчики мониторинга состояния атмосферного воздуха . В комплексный план войдет и ряд мероприятий по сокращению выбросов на ТЭЦ , в частном секторе и транспортных средств . Но самая эффектная мера - газификация Астаны . Этот вопрос в настоящее время рассматривается в правительстве , и в ближайшее время намечено специальное совещание с участием отраслевого госоргана и компании “ КазТрансГаз ” по рассмотрению вариантов газификации . Напомним , в марте прошлого года Министерство энергетики сообщило , что процесс газификации столицы приостановлен . Оба рассматривавшихся ранее проекта - магистральный газопровод из Костанайского региона Карталы - Тобол - Кокшетау - Астана и проект подключения к газопроводу Бейнеу - Бозой - Шымкент - Кызылорда - Жезказган - Темиртау - Астана - в конечном итоге были признаны труднореализуемыми и дорогостоящими . Предлагалось газифицировать Астану с помощью угольного метана . Также российская компания “ Газпром ” сообщала , что намерена провести российский газ в Астану и Алматы , а также на север Кыргызстана .",,,neg,hf:sepidmnorozy/Russian_sentiment:train,2026-03-28T10:58:03Z,neg,0.5492007241612622
"Перевозка железнодорожно - паромным транспортом будет относиться к международной , то есть облагаться НДС по нулевой ставке . Об этом сказал министр национальной экономики Куандык Бишимбаев на презентации поправок по вопросам налогообложения и таможенного администрирования в Комитете Мажилиса парламента РК . ' Для увеличения конкурентоспособности транзитного потенциала страны предлагается поправка , в соответствии с которой перевозка железнодорожно - паромным транспортом будет относиться к международной , то есть облагаться НДС по нулевой ставке . На сегодня , услуги по транспортировке товаров железнодорожным транспортом до морского порта Актау ( т.е . внутри границ Казахстана ) , не признаются услугами , связанными с международной перевозкой и подлежат обложению по ставке НДС 12 % ' , - сказал К . Бишимбаев . Вместе с тем , как отметил министр , текущим законопроектом предусмотрены поправки связанные с оптимизацией механизма ' платы за доступность ' по концессионным проектам особой значимости , поправки , инициированные в связи с разграничением полномочий между МИД РК и МВД РК в части принятия и согласования приглашений , а так же поправки по приведению действующего законодательства в соответствие с ранее принятыми законодательными актами .",,,pos,hf:sepidmnorozy/Russian_sentiment:train,2026-03-28T10:58:03Z,pos,0.5206577868777013
"В Кызылординском областном центре коммуникации при ТОО ' Сыр медиа ' прошел брифинг , посвященный профилактике бытового мошенничества . Для участия в нем были приглашены начальник управления криминальной полиции ДВД по Кызылординской области Гани Турсекеев , прокурор управления областной прокуратуры Ардак Абдикаримов , директор областного филиала АО ' Халык банк ' Бауыржан Рахымжанов , директор областного филиала АО ' Жилстройсбербанк ' Адильжан Саулебаев , начальник городского отдела жилищной инспекции Ерлан Бердибаев и директор службы безопасности областного филиала АО ' Каспий банк ' Игорь Тен . Спикеры говорили о том , как жителям обезопасить себя от преступных посягательств мошенников . Начальник управления криминальной полиции ДВД по Кызылординской области Гани Турсекеев подробно остановился на распространенных видах мошенничества , в том числе ' телефонных мошенничествах ' , когда посредством телефонной связи преступники убеждают свою жертву перечислить свои деньги на чужие счета . — В последнее время большое распространение получила покупка товаров через интернет . После перевода потерпевшими денежных средств переписка прекращалась , а интернет - страница блокировалась . Неоднократно в средствах массовой информации , разного рода памятках до населения доводилась подобная информация , однако преступникам удается все еще обманывать отдельных доверчивых граждан , — отметил прокурор управления областной прокуратуры Ардак Абдикаримов . В других случаях злоумышленники звонили гражданам от имени сотрудников банка , и после телефонного общения с ними они получали доступ к сведениям об их банковской карте , в том числе ее номер , пин - код , код безопасности . По словам директора областного филиала АО ' Халык банк ' Бауыржан Рахымжанов , полученная информация использовалась для дальнейшего хищения сбережений , находящихся на счетах пострадавших . — Злоумышленник на электронные почтовые адреса клиентов рассылает сообщения с пометкой якобы от банка и с вложением вредоносным программным обеспечением или с вложенной интернет ссылкой . Жертва , открывая вложение , производит заражение своего компьютера и дает доступ к своей конфедициональной информации . В этом случае хочу предупредить , что банк владеет всей необходимой информацией и никогда , не при каких обстоятельствах не осуществляет рассылку электронных писем , смс - сообщений , звонков по телефону , с просьбой передать реквизиты платежной карты , пин - код к платежной карте . Не запрашивает логины , пароли , одноразовые пароли и другие личные информации клиента , — сказал Бауыржан Рахымжанов . Акнур ЖАГИПАРОВА По сообщению сайта Kyzylorda News",,,pos,hf:sepidmnorozy/Russian_sentiment:train,2026-03-28T10:58:03Z,neg,0.5004422708099574
"По итогам 12 месяцев 2016 года на территории республики выпущено 11 047 автотранспортных средств на сумму 71,1 млрд тенге , что на 26 % ниже результата годичной давности . 8 397 единиц пришлось на легковую технику ( минус 32,6 % к аналогичному значению 2015 года ) , 1892 грузовых автомобиля ( выпуск вырос на 22,5 % ) , сообщает nur.kz . Основным фактором сокращения производственных показателей автопрома в 2015 - 2016 годов стал резкий спад рыночной активности . Так , по итогам 12 месяцев 2016 года официальными дилерами реализовано 46,8 тыс . автотранспортных средств всех категорий против 97,5 тыс . единиц в 2015 году ( падение на 52 % ) . Тем не менее динамика второй половины 2016 года свидетельствуют о планомерном оздоровлении отрасли . Спад совокупных показателей производства замедлился с 56 % в январе - июне 2016 года до 26 % по результатам 12 месяцев . Сбыт отечественных автозаводов в 2016 году составил 12 176 единиц . Доля автомобилей локальной сборки достигла 26 % по итогам 12 месяцев 2016 года против 17,3 % в 2015 году . Причем в декабре 2016 года этот показатель обновил исторический рекорд и составил 36,5 % . 4244 автомобиля ( или 35 % сбыта казахстанских автозаводов ) были реализованы в рамках государственной программы льготных автокредитов . Лидирующую позицию в сегменте автомобилей локальной сборки занимает продукция АО ' АЗИЯ АВТО ' - 6928 проданных автомобилей , или 56,9 % суммарного сбыта отечественной легковой техники . ТОО ' СарыаркаАвтоПром ' было отгружено 3066 единиц . Доля предприятия составила 25,2 % . Далее в рейтинге сбыта продукции отечественных автопроизводителей расположились АО ' Агромашхолдинг ' ( 843 ед . ; 6,9 % ) , АО ' КАМАЗ - Инжиниринг ' ( 538 ед . ; 4,4 % ) , ТОО ' Hyundai Auto Truck & Bus ' ( 468 ед . ; 3,8 % ) и ТОО ' СемАЗ ' ( 333 ед . ; 2,7 % ) . Пятёрку наиболее востребованных брендов легковых авто казахстанской сборки по итогам 12 месяцев 2016 г . составили Lada ( 3194 ед . ) , Kia ( 2212 ед . ) , Hyundai ( 1917 ед . ) , Skoda ( 838 ед . ) и Chevrolet ( 684 ед . ) . В список марок , предлагаемых отечественными предприятиями , вошли также JAC ( 622 ед . ) , Peugeot ( 452 ед . ) , Geely ( 426 ед . ) , Toyota ( 243 ед . ) и SsangYong ( 119 ед . ) . Рейтинг продаж легковых моделей локального производства возглавили Lada 4x4 ( 2088 ед . ) , Hyundai Elantra ( 975 ед . ) , Lada Granta ( 854 ед . ) , Kia Sportage ( 705 ед . ) , Skoda Rapid ( 486 ед . ) , JAC S3 ( 392 ед . ) , Peugeot 301 ( 354 ед . ) , Hyundai Santa Fe ( 331 ед . ) , KIA Sorento ( 280 ед . ) и KIA Cerato ( 279 ед . ) . Вклад предприятий автопрома в структуру ВВП республики по итогам 2016 г . достиг 71,1 млрд тенге , значительно превысив аналогичные показатели таких отраслей , как фармацевтическая ( 42,4 млрд тенге ) , текстильная промышленность ( 39,2 млрд тенге ) и приблизившись к объемам выпуска легкой промышленности ( 79,4 млрд тенге ) . В декабре 2016 года были полностью освоены средства второго транша государственной программы льготных автокредитов . Напомним , в рамках программы , стартовавшей в апреле 2015 года , из Нацфонда было выделено 26 млрд тенге в целях кредитования физических лиц на приобретение автомобилей казахстанской сборки по номинальной ставке 4 % . Финансовые ресурсы программы сегодня освоены на 119,6 % . За истекшие 20 месяцев работы программы Банком развития Казахстана было выдано 8340 кредитов на общую сумму 31,1 млрд . тг . 4211 реализованных автомобилей пришлось на модельный ряд завода АО ' АЗИЯ АВТО ' . Заемщикам программы было продано 3003 автомобиля , собранных на ТОО ' СарыаркаАвтоПром ' и 1126 единиц техники , выпущенной АО ' Агромашхолдинг ' . Источник : nur.kz .",,,pos,hf:sepidmnorozy/Russian_sentiment:train,2026-03-28T10:58:03Z,pos,0.5454319253353468
"04.11.2016 , 10 : 49 Казахстанские операторы вагонов уходят на рынок РФ из - за более выгодных тарифов - КТЖ - Грузовые перевозки Астана . 3 ноября . ИНТЕРФАКС - КАЗАХСТАН - "" Казахстан темир жолы "" оказалась в неравных условиях по отношению к другим перевозчикам в ЕАЭС из - за госрегулирования тарифов на вагонные перевозки , заявил президент АО "" КТЖ - Грузовые перевозки "" Оралхан Кулаков . Для получения полных текстов публикаций воспользуйтесь платной подпиской . 10 : 06",,,pos,hf:sepidmnorozy/Russian_sentiment:train,2026-03-28T10:58:03Z,neg,0.51040928373592
"Симферополь , 22 Ноября 2016 , 11 : 34 — REGNUM Проблем с поставкой турбинного оборудования для Симферопольской ТЭС нет — первый блок станции будет сдан в 4 квартале 2017 года . Об этом корреспонденту ИА REGNUM сообщили в ' Технопромэкспорте ' в ответ на просьбу прокомментировать сообщения об отставании от графика строительства электростанции под Симферополем . ' Проблем с поставкой турбинного оборудования для электростанции в Симферополе нет . Сейчас готовятся места для приёмки турбин на объекте . Первый блок станции будет сдан в 4 квартале 2017 года ' , — заявили в компании корреспонденту ИА REGNUM . На Симферопольской ТЭС планируется поставить 8 турбин суммарной мощностью 450 МВт , уточнили в компании . В то же время газотурбинное оборудование для Симферопольской электростанции ' на данный момент еще не закуплено ' . Ранее источник в правительстве Севастополя заявил ИА REGNUM , что электростанция будет работать на газовых турбинах Siemens , однако ' Технопромэкспорте ' подчеркнули , что подрядчик турбинного оборудования пока не определен . ' Подрядчик турбинного оборудования для строительства электростанции в Крыму будет определен посредством конкурсной процедуры ' , — пояснили корреспонденту ИА REGNUM . При этом в ' Технопромэкспорте ' также опровергли предположения о намерении перебросить в Крым турбины Siemens , закупленные для ТЭС Тамани . ' Вопрос об использовании турбинного оборудования , закупленного ' Технопромэкспортом ' у Siemens для проекта в Тамани , на территории Крыма никоим образом не рассматривается в силу взятых на себя контрактных обязательств , а также специфики проектов , которые отличаются по производственным и техническим характеристикам ' , — сообщили в ' Технопромэкспорте ' . Как сообщало ИА REGNUM , ' Технопромэкспорт ' ( входит в ' Ростех ' ) заключил контракты на возведение корпусов Сиферопольской и Севастопольской ТЭС с санкт - петербургским ЗАО ' Трест ' Севзапэнергомонтаж ' . Стоимость первого контракта — 5 млрд рублей , второго — 5,3 млрд рублей . Изначально предполагалось , что трест СЗЭМ должен ввести в эксплуатацию по одному энергоблоку на новых Симферопольской и Севастопольской ТЭС в сентябре 2017 года и по второму — в марте 2018 года . Однако позже обнаружилось отставание от графика в строительстве обоих объектов . По итогам осмотра строительства Симферопольской ПГУ - ТЭС в августе министр энергетики России Александр Новак поручил устранить отставание при строительстве до 1 ноября . В конце октября член комитета Госдумы РФ по энергетике Михаил Шеремет заявил о том , что энергоблоки на двух строящихся теплоэлектростанциях в Симферополе и Севастополе будут запущены к декабрю 2017 года .",,,neg,hf:sepidmnorozy/Russian_sentiment:train,2026-03-28T10:58:03Z,neg,0.5306551104544073
"Алматы . 6 января . ИНТЕРФАКС - КАЗАХСТАН – Задержаны руководители казахстанского АО "" Единый накопительный пенсионный фонд "" ( ЕНПФ ) . Для получения полных текстов публикаций воспользуйтесь платной подпиской . 22 : 36",,,neg,hf:sepidmnorozy/Russian_sentiment:train,2026-03-28T10:58:03Z,pos,0.500917870854064
"На расширенном заседании Правительства РК по итогам социально - экономического развития Казахстана за 2016 год Президент Казахстана Нурсултан Назарбаев заявил , что ведомствам , которые не осваивают выделенные бюджетные средства , необходимо сокращать впредь финансирование , а деньги давать , тем , кто их осваивает , передает корреспондент Zakon.kz . ' По итогам года по республиканскому бюджету сберегли 110 миллиардов тенге за счет нераспределенного резерва правительства и сложившейся экономии . Не освоено 36 миллиардов тенге ' , - сказал министр финансов РК Бахыт Султанов . Суммы неосвоения заинтересовали главу государства . ' Есть термин освоение . Они ( госорганы ) берут средства и в конце года , чтобы вы говорили , что не освоили , в ноябре - декабре они начинают раскидывать эти суммы , лишь бы освоить . Поэтому нужно посмотреть ' , - сказал Президент РК Н.Назарбаев . ' Дело в том , что во время защиты бюджета каждое министерство приходит , просит , доказывает - дайте сюда , дайте сюда . Значит , это все были необоснованные требования и , значит , изъять эти деньги надо и дать тем , кто осваивает . И все . Не надо заставлять осваивать . И на следующий год сократить этому ведомству ( бюджет ) . Тогда в течение года будут осваивать ' , - добавил он . При этом Президент РК подчеркнул , что министр финансов должен экономить . ' Им лишь бы набрать денег , а ты всем раздаешь : и тому , и этому . Тебе поручен государственный карман , казна , ты - защитник денег , которые экономят и предлагают мне - вот , господин Президент , эти деньги мы собрали , отложили ' , - сказал Президент РК Н.Назарбаев .",,,pos,hf:sepidmnorozy/Russian_sentiment:train,2026-03-28T10:58:03Z,neg,0.5198587164598496
